Mode,444 nm
1,5009.4518
2,5607.4526
3,1046.2402
4,5138.7449
5,4577.4086
6,64726.1127
7,4610.3228
8,303880.5415
9,350727.7064
10,30048.8131
11,302866.8489
12,153881.9462
13,169302.8927
14,284448.5579
15,182774.5300
16,36974.9026
17,5546.5720
18,8729.7336
19,12882.9816
20,18293.5711
21,31007.9867
22,180961.9458
23,229351.3412
24,856753.8125
25,994387.6922
26,8217569.4135
27,8708773.9577
28,4851392.5552
29,174335.2557
30,1131006.9255
31,57047.1578
32,180181.0063
33,52978.3599
34,142362.8623
35,92936.6692
36,768559.9136
37,68717.5416
38,2070058.7611
39,240662.0642
40,58343.8864
41,818866.5511
42,78999.1840
43,315932.3307
44,528877.8553
45,7894637.2502
46,113913.8601
47,2819453.4816
48,223266.9998
49,1178170.6143
50,3581261.3439
51,307235.3424
52,3687727.6325
53,65975.5683
54,728501.3909
55,89533.3934
56,233999.1074
57,31869.8563
58,571864.4420
59,3228970.2647
60,11058.3929
61,75830.8745
62,6111.9034
63,78144.9387
64,46189.2859
65,2183583.3724
66,54457.6217
67,181326.5986
68,165686.3603
69,1422176.5675
70,693962.4777
71,************
72,2215500.2808
73,713452.6748
74,7218787.6311
75,109405.4842
76,2843005.4383
77,651627.6931
78,3419095.8957
79,270164.3831
80,1611625.7518
81,9476153.9350
82,************
83,13047.2269
84,671393.3949
85,959367.5527
86,1503606.3959
87,1659451.9453
88,1853858.5803
89,359223.1632
90,57506.4868
91,268234.1371
92,120684.4769
93,28058.1033
94,12722.1055
95,581933.8195
96,1553055.7465
97,5712873.5664
98,349786.6297
99,16521.4979
100,1644164.1219
101,60177.7211
102,1123075.4400
103,************
104,1573635.2128
105,14770.4780
106,591.3868
107,23298.4049
108,14598.1713
109,5106224.6978
110,737359.7899
111,1695285.8152
112,2564.7477
113,138445.5707
114,24555.2255
115,2681704.2238
116,************
117,673152.6640
118,************
119,625009.0516
120,142680.7755
121,3310359.7255
122,197338.5540
123,218501.9733
124,584094.7170
125,285516.8959
126,531100.7469
127,1774590.5437
128,6511980.1599
129,6701569.9402
130,4230270.1796
131,175690.6545
132,62577.9220
133,401236.1744
134,15554.0904
135,1035227.7904
136,218609.5097
137,268997.4530
138,23346.1363
139,120870.2396
140,7305189.3404
141,624304.0359
142,1866559.7448
143,768199.9323
144,1061783.5119
145,281847.6650
146,1343543.2247
147,463425.8553
148,17205.5972
149,160356.0463
150,4589523.9538
151,42526.7432
152,507325.2871
153,108250.6348
154,40733.7168
155,************
156,************
157,608943.1756
158,278737.4231
159,89909.8877
160,1579104.1655
161,2632475.5207
162,7508.9562
163,27186.0209
164,217429.3029
165,319612.9597
166,257034.3410
167,1273428.0472
168,48383.6201
169,178960.9639
170,140664.6739
171,126093.8309
172,451868.7442
173,94010.3892
174,225625.3113
175,26681.2463
176,9491303.8117
177,5762975.1618
178,11308.8822
179,294328.9331
180,6996.0283
181,295859.0258
182,32531.2049
183,448966.6981
184,2363700.6946
185,61257.5100
186,55577.5340
187,17018.7809
188,509992.5694
189,617.6197
190,14165.5027
191,693866.3217
192,6539.2123
193,596.2102
194,************
195,102545.0742
196,957224.7820
197,722345.8228
198,549476.7624
199,79547.2896
200,26912.2109
201,1438920.0971
202,389618.6668
203,1565.6174
204,31956.7502
